510 126781
Bacelar Glauber_Braga 12
Bacelar Magda_Mofatto 16
Bacelar Elmar_Nascimento 8
Bacelar Lucio_Mosquini 12
Bacelar Capitão_Augusto 12
Bacelar Matheus_Noronha 22
Bacelar Isnaldo_Bulhões_Jr. 8
Bacelar Pastor_Eurico 4
Bacelar Abilio_Brunini 4
Bacelar Emidinho_Madeira 4
Bacelar Talíria_Petrone 16
Bacelar Padovani 6
Bacelar Zé_Vitor 8
Bacelar Alex_Manente 2
Bacelar Júnior_Mano 6
Bacelar André_Fernandes 4
Bacelar André_Ferreira 4
Bacelar Adolfo_Viana 8
Bacelar Roberto_Monteiro_Pai 4
Bacelar Daniel_Freitas 4
Bacelar Miguel_Lombardi 4
Bacelar Paulo_Freire_Costa 4
Bacelar Domingos_Sávio 6
Bacelar Mauricio_do_Vôlei 4
Bacelar Sargento_Gonçalves 4
Bacelar Marcelo_Álvaro_Antônio 4
Bacelar Capitão_Alberto_Neto 4
Bacelar Luciano_Bivar 6
Bacelar Dr._Frederico 8
Bacelar Fernando_Rodolfo 6
Bacelar Zé_Trovão 4
Bacelar Altineu_Côrtes 2
Bacelar Delegado_Ramagem 4
Bacelar Carlos_Jordy 4
Bacelar Gustavo_Gayer 4
Bacelar Professor_Alcides 2
Bacelar Cabo_Gilberto_Silva 2
Bacelar Jefferson_Campos 2
Bacelar Eros_Biondini 4
Bacelar Joaquim_Passarinho 6
Bacelar Daniela_Reinehr 6
Bacelar Filipe_Martins 4
Bacelar Vinicius_Gurgel 4
Bacelar Gilvan_da_Federal 4
Bacelar Carla_Zambelli 6
Bacelar Alberto_Fraga 4
Bacelar Mario_Frias 4
Bacelar Rodolfo_Nogueira 6
Bacelar Marcio_Alvino 4
Bacelar Coronel_Fernanda 4
Bacelar Roberta_Roma 6
Bacelar Adilson_Barroso 4
Bacelar Filipe_Barros 4
Bacelar Coronel_Meira 6
Bacelar Sonize_Barbosa 4
Bacelar Nikolas_Ferreira 4
Bacelar Wellington_Roberto 4
Bacelar José_Medeiros 6
Bacelar Gláucia_Santiago 6
Bacelar Coronel_Chrisóstomo 4
Bacelar Pastor_Gil 4
Bacelar Eduardo_Bolsonaro 4
Bacelar Daniel_José 8
Bacelar Antonio_Brito 12
Bacelar Pinheirinho 8
Bacelar Silvia_Waiãpi 2
Bacelar Sóstenes_Cavalcante 2
Bacelar Rosângela_Reis 2
Bacelar Fernanda_Melchionna 4
Bacelar Greyce_Elias 6
Bacelar Capitão_Samuel 2
Renildo_Calheiros Luiz_Couto 60
Renildo_Calheiros Elcione_Barbalho 56
Renildo_Calheiros Patrus_Ananias 46
Renildo_Calheiros Chico_Alencar 58
Renildo_Calheiros Mendonça_Filho 18
Renildo_Calheiros João_Leão 46
Renildo_Calheiros Laura_Carneiro 46
Renildo_Calheiros Cobalchini 32
Renildo_Calheiros José_Guimarães 60
Renildo_Calheiros Arthur_Oliveira_Maia 44
Renildo_Calheiros Pr._Marco_Feliciano 8
Renildo_Calheiros Afonso_Motta 42
Renildo_Calheiros Helder_Salomão 60
Renildo_Calheiros Rubens_Pereira_Júnior 60
Renildo_Calheiros Delegado_Éder_Mauro 4
Renildo_Calheiros Toninho_Wandscheer 56
Renildo_Calheiros Orlando_Silva 22
Renildo_Calheiros Flávio_Nogueira 50
Renildo_Calheiros Gilson_Marques 8
Renildo_Calheiros Caroline_de_Toni 8
Renildo_Calheiros Bia_Kicis 6
Renildo_Calheiros Pedro_Lupion 24
Renildo_Calheiros Lucas_Redecker 46
Renildo_Calheiros Chris_Tonietto 10
Renildo_Calheiros Nicoletti 30
Renildo_Calheiros Dr._Jaziel 6
Renildo_Calheiros Cezinha_de_Madureira 52
Renildo_Calheiros Delegado_Marcelo_Freitas 36
Renildo_Calheiros Luiz_Philippe_de_Orleans_e_Bragança 8
Renildo_Calheiros Tabata_Amaral 34
Renildo_Calheiros Eduardo_Bismarck 54
Renildo_Calheiros Célia_Xakriabá 36
Renildo_Calheiros Eliza_Virgínia 10
Renildo_Calheiros Gilson_Daniel 58
Renildo_Calheiros Defensor_Stélio_Dener 58
Renildo_Calheiros Ricardo_Ayres 60
Renildo_Calheiros Marcos_Pollon 6
Renildo_Calheiros Zucco 8
Renildo_Calheiros Julia_Zanatta 6
Renildo_Calheiros Delegada_Katarina 48
Renildo_Calheiros Alfredo_Gaspar 32
Renildo_Calheiros Delegado_Fabio_Costa 32
Renildo_Calheiros Rafael_Brito 42
Renildo_Calheiros Roberto_Duarte 34
Renildo_Calheiros Rafael_Simoes 34
Renildo_Calheiros Pedro_Aihara 56
Renildo_Calheiros Delegado_Paulo_Bilynskyj 8
Renildo_Calheiros Fernanda_Pessoa 52
Renildo_Calheiros Pedro_Campos 48
Renildo_Calheiros Maria_Arraes 58
Renildo_Calheiros Diego_Coronel 56
Renildo_Calheiros Castro_Neto 54
Renildo_Calheiros Welter 46
Renildo_Calheiros Gisela_Simona 36
Renildo_Calheiros Pedro_Jr 6
Renildo_Calheiros Celso_Russomanno 48
Renildo_Calheiros Luiza_Erundina 58
Renildo_Calheiros Marangoni 40
Renildo_Calheiros Acácio_Favacho 38
Renildo_Calheiros Zé_Silva 52
Renildo_Calheiros Luiz_Gastão 38
Renildo_Calheiros Dr._Fernando_Máximo 24
Renildo_Calheiros Eriberto_Medeiros 58
Renildo_Calheiros Washington_Quaquá 30
Renildo_Calheiros José_Priante 32
Renildo_Calheiros Julio_Lopes 42
Renildo_Calheiros Ricardo_Maia 50
Renildo_Calheiros José_Rocha 54
Renildo_Calheiros Ismael 34
Renildo_Calheiros Iza_Arruda 50
Renildo_Calheiros Jadyel_Alencar 50
Renildo_Calheiros Tiririca 48
Renildo_Calheiros Rogério_Correia 50
Renildo_Calheiros Alexandre_Guimarães 46
Renildo_Calheiros Luciano_Amaral 54
Renildo_Calheiros Roseana_Sarney 34
Renildo_Calheiros Juliana_Kolankiewicz 22
Renildo_Calheiros Renilce_Nicodemos 34
Renildo_Calheiros Paulo_Folletto 48
Renildo_Calheiros Hugo_Leal 42
Renildo_Calheiros Marcel_van_Hattem 8
Renildo_Calheiros Célio_Silveira 30
Renildo_Calheiros Vitor_Lippi 48
Renildo_Calheiros Reginete_Bispo 22
Renildo_Calheiros Bosco_Costa 52
Renildo_Calheiros Luisa_Canziani 28
Renildo_Calheiros Carla_Ayres 54
Renildo_Calheiros Antonio_Carlos_Rodrigues 30
Renildo_Calheiros Dimas_Fabiano 50
Renildo_Calheiros Sidney_Leite 38
Renildo_Calheiros Guilherme_Boulos 54
Renildo_Calheiros Weliton_Prado 32
Renildo_Calheiros Rafael_Prudente 32
Renildo_Calheiros Felipe_Carreras 42
Renildo_Calheiros Lindbergh_Farias 40
Renildo_Calheiros Odair_Cunha 50
Renildo_Calheiros Silvye_Alves 30
Renildo_Calheiros Ivoneide_Caetano 58
Renildo_Calheiros Albuquerque 48
Renildo_Calheiros Ricardo_Salles 2
Renildo_Calheiros Sergio_Souza 36
Renildo_Calheiros Lucas_Ramos 56
Renildo_Calheiros Dagoberto_Nogueira 58
Renildo_Calheiros Kiko_Celeguim 56
Renildo_Calheiros Beto_Richa 58
Renildo_Calheiros Marcelo_Queiroz 58
Renildo_Calheiros Arnaldo_Jardim 34
Renildo_Calheiros Afonso_Hamm 32
Renildo_Calheiros Ismael_Alexandrino 36
Renildo_Calheiros Bibo_Nunes 6
Renildo_Calheiros Jorge_Goetten 56
Renildo_Calheiros Amaro_Neto 50
Renildo_Calheiros Raimundo_Santos 42
Renildo_Calheiros Antônio_Doido 56
Renildo_Calheiros Paulo_Magalhães 28
Renildo_Calheiros Domingos_Neto 30
Renildo_Calheiros Adriana_Ventura 6
Renildo_Calheiros Denise_Pessôa 36
Renildo_Calheiros Maria_do_Rosário 34
Renildo_Calheiros Ely_Santos 56
Renildo_Calheiros Luizianne_Lins 46
Renildo_Calheiros Geraldo_Resende 56
Renildo_Calheiros Alceu_Moreira 52
Renildo_Calheiros Marcelo_Crivella 54
Renildo_Calheiros Átila_Lira 52
Renildo_Calheiros Duda_Ramos 44
Renildo_Calheiros Luis_Tibé 30
